,n,t,r,d,i,id,iter
0,400,10,1,202.8,0,10000,20
1,400,10,1,202.8,1,10000,20
2,400,10,1,203.3,2,10000,20
3,400,10,1,203.7,3,10000,20
4,400,10,1,204.0,4,10000,20
5,400,10,1,204.4,5,10000,20
6,400,10,1,204.95,6,10000,20
7,400,10,1,205.55,7,10000,20
8,400,10,1,205.9,8,10000,20
9,400,10,1,206.15,9,10000,20
10,400,10,1,206.5,10,10000,20
11,400,10,1,206.75,11,10000,20
12,400,10,1,206.75,12,10000,20
13,400,10,1,206.8,13,10000,20
14,400,10,1,207.6,14,10000,20
15,400,10,1,207.85,15,10000,20
16,400,10,1,208.1,16,10000,20
17,400,10,1,208.6,17,10000,20
18,400,10,1,208.85,18,10000,20
19,400,10,1,209.25,19,10000,20
20,400,10,1,209.4,20,10000,20
21,400,10,1,209.85,21,10000,20
22,400,10,1,210.05,22,10000,20
23,400,10,1,210.05,23,10000,20
24,400,10,1,210.3,24,10000,20
25,400,10,1,210.65,25,10000,20
26,400,10,1,211.0,26,10000,20
27,400,10,1,211.3,27,10000,20
28,400,10,1,211.4,28,10000,20
29,400,10,1,211.8,29,10000,20
30,400,10,1,212.15,30,10000,20
31,400,10,1,212.4,31,10000,20
32,400,10,1,212.65,32,10000,20
33,400,10,1,213.0,33,10000,20
34,400,10,1,213.0,34,10000,20
35,400,10,1,212.55,35,10000,20
36,400,10,1,212.85,36,10000,20
37,400,10,1,213.25,37,10000,20
38,400,10,1,213.45,38,10000,20
39,400,10,1,213.7,39,10000,20
40,400,10,1,214.05,40,10000,20
41,400,10,1,214.25,41,10000,20
42,400,10,1,214.55,42,10000,20
43,400,10,1,214.8,43,10000,20
44,400,10,1,215.15,44,10000,20
45,400,10,1,215.15,45,10000,20
46,400,10,1,215.45,46,10000,20
47,400,10,1,215.6,47,10000,20
48,400,10,1,215.8,48,10000,20
49,400,10,1,215.9,49,10000,20
50,400,10,1,216.2,50,10000,20
51,400,10,1,216.35,51,10000,20
52,400,10,1,216.6,52,10000,20
53,400,10,1,216.8,53,10000,20
54,400,10,1,217.15,54,10000,20
55,400,10,1,217.4,55,10000,20
56,400,10,1,217.4,56,10000,20
57,400,10,1,217.35,57,10000,20
58,400,10,1,217.5,58,10000,20
59,400,10,1,217.75,59,10000,20
60,400,10,1,218.15,60,10000,20
61,400,10,1,218.4,61,10000,20
62,400,10,1,218.9,62,10000,20
63,400,10,1,219.05,63,10000,20
64,400,10,1,219.3,64,10000,20
65,400,10,1,219.6,65,10000,20
66,400,10,1,219.9,66,10000,20
67,400,10,1,219.9,67,10000,20
68,400,10,1,220.2,68,10000,20
69,400,10,1,220.45,69,10000,20
70,400,10,1,220.55,70,10000,20
71,400,10,1,220.8,71,10000,20
72,400,10,1,221.05,72,10000,20
73,400,10,1,221.25,73,10000,20
74,400,10,1,221.85,74,10000,20
75,400,10,1,222.0,75,10000,20
76,400,10,1,222.25,76,10000,20
77,400,10,1,222.65,77,10000,20
78,400,10,1,222.65,78,10000,20
79,400,10,1,223.05,79,10000,20
80,400,10,1,223.5,80,10000,20
81,400,10,1,223.8,81,10000,20
82,400,10,1,224.0,82,10000,20
83,400,10,1,224.25,83,10000,20
84,400,10,1,224.7,84,10000,20
85,400,10,1,224.95,85,10000,20
86,400,10,1,225.25,86,10000,20
87,400,10,1,225.55,87,10000,20
88,400,10,1,225.9,88,10000,20
89,400,10,1,225.9,89,10000,20
90,400,10,1,226.1,90,10000,20
91,400,10,1,226.25,91,10000,20
92,400,10,1,226.7,92,10000,20
93,400,10,1,226.9,93,10000,20
94,400,10,1,227.15,94,10000,20
95,400,10,1,227.5,95,10000,20
96,400,10,1,227.7,96,10000,20
97,400,10,1,228.05,97,10000,20
98,400,10,1,228.4,98,10000,20
99,400,10,1,228.8,99,10000,20
100,400,10,1,228.8,100,10000,20
101,400,10,1,228.95,101,10000,20
102,400,10,1,229.25,102,10000,20
103,400,10,1,229.6,103,10000,20
104,400,10,1,230.0,104,10000,20
105,400,10,1,230.4,105,10000,20
106,400,10,1,230.65,106,10000,20
107,400,10,1,230.7,107,10000,20
108,400,10,1,230.9,108,10000,20
109,400,10,1,231.3,109,10000,20
110,400,10,1,231.55,110,10000,20
111,400,10,1,231.55,111,10000,20
112,400,10,1,231.6,112,10000,20
113,400,10,1,231.9,113,10000,20
114,400,10,1,232.2,114,10000,20
115,400,10,1,232.3,115,10000,20
116,400,10,1,232.4,116,10000,20
117,400,10,1,232.55,117,10000,20
118,400,10,1,232.75,118,10000,20
119,400,10,1,232.9,119,10000,20
120,400,10,1,233.05,120,10000,20
121,400,10,1,233.3,121,10000,20
122,400,10,1,233.3,122,10000,20
123,400,10,1,233.4,123,10000,20
124,400,10,1,233.65,124,10000,20
125,400,10,1,234.05,125,10000,20
126,400,10,1,234.4,126,10000,20
127,400,10,1,234.6,127,10000,20
128,400,10,1,234.65,128,10000,20
129,400,10,1,234.95,129,10000,20
130,400,10,1,235.45,130,10000,20
131,400,10,1,235.8,131,10000,20
132,400,10,1,235.95,132,10000,20
133,400,10,1,235.95,133,10000,20
134,400,10,1,235.85,134,10000,20
135,400,10,1,236.0,135,10000,20
136,400,10,1,236.2,136,10000,20
137,400,10,1,236.3,137,10000,20
138,400,10,1,236.55,138,10000,20
139,400,10,1,236.8,139,10000,20
140,400,10,1,237.0,140,10000,20
141,400,10,1,237.4,141,10000,20
142,400,10,1,237.75,142,10000,20
143,400,10,1,238.2,143,10000,20
144,400,10,1,238.2,144,10000,20
145,400,10,1,238.0,145,10000,20
146,400,10,1,238.25,146,10000,20
147,400,10,1,238.85,147,10000,20
148,400,10,1,238.95,148,10000,20
149,400,10,1,239.25,149,10000,20
150,400,10,1,239.5,150,10000,20
151,400,10,1,239.75,151,10000,20
152,400,10,1,240.1,152,10000,20
153,400,10,1,240.35,153,10000,20
154,400,10,1,240.5,154,10000,20
155,400,10,1,240.5,155,10000,20
156,400,10,1,240.55,156,10000,20
157,400,10,1,240.85,157,10000,20
158,400,10,1,241.1,158,10000,20
159,400,10,1,241.35,159,10000,20
160,400,10,1,241.85,160,10000,20
161,400,10,1,242.25,161,10000,20
162,400,10,1,242.4,162,10000,20
163,400,10,1,242.55,163,10000,20
164,400,10,1,242.75,164,10000,20
165,400,10,1,242.95,165,10000,20
166,400,10,1,242.95,166,10000,20
167,400,10,1,242.7,167,10000,20
168,400,10,1,242.9,168,10000,20
169,400,10,1,243.25,169,10000,20
170,400,10,1,243.5,170,10000,20
171,400,10,1,243.9,171,10000,20
172,400,10,1,244.25,172,10000,20
173,400,10,1,244.4,173,10000,20
174,400,10,1,244.6,174,10000,20
175,400,10,1,244.9,175,10000,20
176,400,10,1,245.25,176,10000,20
177,400,10,1,245.25,177,10000,20
178,400,10,1,245.4,178,10000,20
179,400,10,1,245.7,179,10000,20
180,400,10,1,245.7,180,10000,20
181,400,10,1,246.0,181,10000,20
182,400,10,1,246.2,182,10000,20
183,400,10,1,246.45,183,10000,20
184,400,10,1,246.45,184,10000,20
185,400,10,1,246.85,185,10000,20
186,400,10,1,247.05,186,10000,20
187,400,10,1,247.15,187,10000,20
188,400,10,1,247.15,188,10000,20
189,400,10,1,247.0,189,10000,20
190,400,10,1,247.45,190,10000,20
191,400,10,1,247.65,191,10000,20
192,400,10,1,248.05,192,10000,20
193,400,10,1,248.15,193,10000,20
194,400,10,1,248.3,194,10000,20
195,400,10,1,248.6,195,10000,20
196,400,10,1,248.85,196,10000,20
197,400,10,1,248.9,197,10000,20
198,400,10,1,249.3,198,10000,20
199,400,10,1,249.3,199,10000,20
200,400,10,1,249.1,200,10000,20
201,400,10,1,249.3,201,10000,20
202,400,10,1,249.35,202,10000,20
203,400,10,1,249.65,203,10000,20
204,400,10,1,249.9,204,10000,20
205,400,10,1,250.2,205,10000,20
206,400,10,1,250.5,206,10000,20
207,400,10,1,250.85,207,10000,20
208,400,10,1,251.15,208,10000,20
209,400,10,1,251.2,209,10000,20
210,400,10,1,251.2,210,10000,20
211,400,10,1,250.95,211,10000,20
212,400,10,1,251.1,212,10000,20
213,400,10,1,251.25,213,10000,20
214,400,10,1,251.8,214,10000,20
215,400,10,1,251.95,215,10000,20
216,400,10,1,252.05,216,10000,20
217,400,10,1,252.3,217,10000,20
218,400,10,1,252.4,218,10000,20
219,400,10,1,252.75,219,10000,20
220,400,10,1,253.0,220,10000,20
221,400,10,1,253.0,221,10000,20
222,400,10,1,252.2,222,10000,20
223,400,10,1,252.45,223,10000,20
224,400,10,1,252.7,224,10000,20
225,400,10,1,252.9,225,10000,20
226,400,10,1,253.0,226,10000,20
227,400,10,1,253.2,227,10000,20
228,400,10,1,253.35,228,10000,20
229,400,10,1,253.6,229,10000,20
230,400,10,1,253.85,230,10000,20
231,400,10,1,254.15,231,10000,20
232,400,10,1,254.15,232,10000,20
233,400,10,1,254.05,233,10000,20
234,400,10,1,254.15,234,10000,20
235,400,10,1,254.3,235,10000,20
236,400,10,1,254.5,236,10000,20
237,400,10,1,254.6,237,10000,20
238,400,10,1,255.0,238,10000,20
239,400,10,1,255.4,239,10000,20
240,400,10,1,255.65,240,10000,20
241,400,10,1,256.05,241,10000,20
242,400,10,1,256.25,242,10000,20
243,400,10,1,256.25,243,10000,20
244,400,10,1,256.55,244,10000,20
245,400,10,1,256.65,245,10000,20
246,400,10,1,256.9,246,10000,20
247,400,10,1,256.95,247,10000,20
248,400,10,1,257.2,248,10000,20
249,400,10,1,257.35,249,10000,20
250,400,10,1,257.45,250,10000,20
251,400,10,1,257.6,251,10000,20
252,400,10,1,257.75,252,10000,20
253,400,10,1,258.0,253,10000,20
254,400,10,1,258.0,254,10000,20
255,400,10,1,258.0,255,10000,20
256,400,10,1,258.05,256,10000,20
257,400,10,1,258.4,257,10000,20
258,400,10,1,258.6,258,10000,20
259,400,10,1,258.75,259,10000,20
260,400,10,1,258.9,260,10000,20
261,400,10,1,259.05,261,10000,20
262,400,10,1,259.4,262,10000,20
263,400,10,1,259.55,263,10000,20
264,400,10,1,259.75,264,10000,20
265,400,10,1,259.75,265,10000,20
266,400,10,1,259.95,266,10000,20
267,400,10,1,260.2,267,10000,20
268,400,10,1,260.25,268,10000,20
269,400,10,1,260.5,269,10000,20
270,400,10,1,260.6,270,10000,20
271,400,10,1,260.6,271,10000,20
272,400,10,1,260.75,272,10000,20
273,400,10,1,260.8,273,10000,20
274,400,10,1,261.05,274,10000,20
275,400,10,1,261.3,275,10000,20
276,400,10,1,261.3,276,10000,20
277,400,10,1,261.2,277,10000,20
278,400,10,1,261.65,278,10000,20
279,400,10,1,262.05,279,10000,20
280,400,10,1,262.15,280,10000,20
281,400,10,1,262.35,281,10000,20
282,400,10,1,262.6,282,10000,20
283,400,10,1,262.7,283,10000,20
284,400,10,1,262.9,284,10000,20
285,400,10,1,263.05,285,10000,20
286,400,10,1,263.15,286,10000,20
287,400,10,1,263.15,287,10000,20
288,400,10,1,263.1,288,10000,20
289,400,10,1,263.3,289,10000,20
290,400,10,1,263.55,290,10000,20
291,400,10,1,263.7,291,10000,20
292,400,10,1,264.05,292,10000,20
293,400,10,1,264.2,293,10000,20
294,400,10,1,264.35,294,10000,20
295,400,10,1,264.45,295,10000,20
296,400,10,1,264.55,296,10000,20
297,400,10,1,264.8,297,10000,20
298,400,10,1,264.8,298,10000,20
299,400,10,1,264.65,299,10000,20
300,400,10,1,264.9,300,10000,20
301,400,10,1,265.05,301,10000,20
302,400,10,1,265.1,302,10000,20
303,400,10,1,265.15,303,10000,20
304,400,10,1,265.4,304,10000,20
305,400,10,1,265.6,305,10000,20
306,400,10,1,265.7,306,10000,20
307,400,10,1,266.05,307,10000,20
308,400,10,1,266.2,308,10000,20
309,400,10,1,266.2,309,10000,20
310,400,10,1,265.8,310,10000,20
311,400,10,1,265.9,311,10000,20
312,400,10,1,266.15,312,10000,20
313,400,10,1,266.35,313,10000,20
314,400,10,1,266.65,314,10000,20
315,400,10,1,266.75,315,10000,20
316,400,10,1,266.75,316,10000,20
317,400,10,1,266.9,317,10000,20
318,400,10,1,267.35,318,10000,20
319,400,10,1,267.55,319,10000,20
320,400,10,1,267.55,320,10000,20
321,400,10,1,267.5,321,10000,20
322,400,10,1,267.7,322,10000,20
323,400,10,1,267.9,323,10000,20
324,400,10,1,268.2,324,10000,20
325,400,10,1,268.4,325,10000,20
326,400,10,1,268.5,326,10000,20
327,400,10,1,268.55,327,10000,20
328,400,10,1,268.95,328,10000,20
329,400,10,1,269.25,329,10000,20
330,400,10,1,269.45,330,10000,20
331,400,10,1,269.45,331,10000,20
332,400,10,1,269.4,332,10000,20
333,400,10,1,269.6,333,10000,20
334,400,10,1,269.85,334,10000,20
335,400,10,1,270.0,335,10000,20
336,400,10,1,270.2,336,10000,20
337,400,10,1,270.25,337,10000,20
338,400,10,1,270.45,338,10000,20
339,400,10,1,270.7,339,10000,20
340,400,10,1,270.85,340,10000,20
341,400,10,1,271.0,341,10000,20
342,400,10,1,271.0,342,10000,20
343,400,10,1,270.95,343,10000,20
344,400,10,1,271.2,344,10000,20
345,400,10,1,271.35,345,10000,20
