,n,t,r,d,i,id,iter
0,200,10,1,93.4,0,2000,5
1,200,10,1,93.4,1,2000,5
2,200,10,1,93.6,2,2000,5
3,200,10,1,94.0,3,2000,5
4,200,10,1,94.6,4,2000,5
5,200,10,1,95.0,5,2000,5
6,200,10,1,95.2,6,2000,5
7,200,10,1,95.2,7,2000,5
8,200,10,1,95.4,8,2000,5
9,200,10,1,95.6,9,2000,5
10,200,10,1,96.0,10,2000,5
11,200,10,1,96.2,11,2000,5
12,200,10,1,96.2,12,2000,5
13,200,10,1,97.8,13,2000,5
14,200,10,1,97.8,14,2000,5
15,200,10,1,98.2,15,2000,5
16,200,10,1,98.4,16,2000,5
17,200,10,1,98.4,17,2000,5
18,200,10,1,99.0,18,2000,5
19,200,10,1,99.2,19,2000,5
20,200,10,1,99.6,20,2000,5
21,200,10,1,99.6,21,2000,5
22,200,10,1,99.8,22,2000,5
23,200,10,1,99.8,23,2000,5
24,200,10,1,99.4,24,2000,5
25,200,10,1,100.6,25,2000,5
26,200,10,1,100.8,26,2000,5
27,200,10,1,101.0,27,2000,5
28,200,10,1,101.4,28,2000,5
29,200,10,1,101.8,29,2000,5
30,200,10,1,101.8,30,2000,5
31,200,10,1,102.6,31,2000,5
32,200,10,1,103.2,32,2000,5
33,200,10,1,103.2,33,2000,5
34,200,10,1,103.2,34,2000,5
35,200,10,1,104.0,35,2000,5
36,200,10,1,104.0,36,2000,5
37,200,10,1,104.8,37,2000,5
38,200,10,1,105.0,38,2000,5
39,200,10,1,105.0,39,2000,5
40,200,10,1,105.4,40,2000,5
41,200,10,1,105.6,41,2000,5
42,200,10,1,106.0,42,2000,5
43,200,10,1,106.2,43,2000,5
44,200,10,1,106.6,44,2000,5
45,200,10,1,106.6,45,2000,5
46,200,10,1,107.2,46,2000,5
47,200,10,1,107.2,47,2000,5
48,200,10,1,107.6,48,2000,5
49,200,10,1,108.0,49,2000,5
50,200,10,1,108.2,50,2000,5
51,200,10,1,108.2,51,2000,5
52,200,10,1,108.2,52,2000,5
53,200,10,1,108.4,53,2000,5
54,200,10,1,109.0,54,2000,5
55,200,10,1,109.4,55,2000,5
56,200,10,1,109.4,56,2000,5
57,200,10,1,109.8,57,2000,5
58,200,10,1,110.2,58,2000,5
59,200,10,1,110.6,59,2000,5
60,200,10,1,110.6,60,2000,5
61,200,10,1,111.2,61,2000,5
62,200,10,1,111.4,62,2000,5
63,200,10,1,111.6,63,2000,5
64,200,10,1,111.6,64,2000,5
65,200,10,1,111.6,65,2000,5
66,200,10,1,112.2,66,2000,5
67,200,10,1,112.2,67,2000,5
68,200,10,1,112.8,68,2000,5
69,200,10,1,113.0,69,2000,5
70,200,10,1,113.2,70,2000,5
71,200,10,1,113.6,71,2000,5
72,200,10,1,113.8,72,2000,5
73,200,10,1,114.0,73,2000,5
74,200,10,1,114.6,74,2000,5
75,200,10,1,114.8,75,2000,5
76,200,10,1,115.0,76,2000,5
77,200,10,1,115.0,77,2000,5
78,200,10,1,115.0,78,2000,5
79,200,10,1,115.4,79,2000,5
80,200,10,1,115.6,80,2000,5
81,200,10,1,115.8,81,2000,5
82,200,10,1,115.8,82,2000,5
83,200,10,1,116.2,83,2000,5
84,200,10,1,116.6,84,2000,5
85,200,10,1,116.8,85,2000,5
86,200,10,1,117.0,86,2000,5
87,200,10,1,117.4,87,2000,5
88,200,10,1,117.6,88,2000,5
89,200,10,1,117.6,89,2000,5
90,200,10,1,117.8,90,2000,5
91,200,10,1,118.8,91,2000,5
92,200,10,1,119.0,92,2000,5
93,200,10,1,119.2,93,2000,5
94,200,10,1,119.2,94,2000,5
95,200,10,1,119.4,95,2000,5
96,200,10,1,120.0,96,2000,5
97,200,10,1,120.8,97,2000,5
98,200,10,1,120.8,98,2000,5
99,200,10,1,121.2,99,2000,5
100,200,10,1,121.2,100,2000,5
101,200,10,1,121.6,101,2000,5
102,200,10,1,121.8,102,2000,5
103,200,10,1,122.0,103,2000,5
104,200,10,1,122.6,104,2000,5
105,200,10,1,122.6,105,2000,5
106,200,10,1,122.6,106,2000,5
107,200,10,1,123.0,107,2000,5
108,200,10,1,123.0,108,2000,5
109,200,10,1,123.4,109,2000,5
110,200,10,1,123.4,110,2000,5
111,200,10,1,123.4,111,2000,5
112,200,10,1,123.2,112,2000,5
113,200,10,1,123.4,113,2000,5
114,200,10,1,124.0,114,2000,5
115,200,10,1,124.0,115,2000,5
116,200,10,1,124.4,116,2000,5
117,200,10,1,124.4,117,2000,5
118,200,10,1,124.4,118,2000,5
119,200,10,1,124.6,119,2000,5
120,200,10,1,124.8,120,2000,5
121,200,10,1,125.2,121,2000,5
122,200,10,1,125.2,122,2000,5
123,200,10,1,125.0,123,2000,5
124,200,10,1,125.0,124,2000,5
125,200,10,1,125.0,125,2000,5
126,200,10,1,125.2,126,2000,5
127,200,10,1,125.2,127,2000,5
128,200,10,1,125.8,128,2000,5
129,200,10,1,126.2,129,2000,5
130,200,10,1,126.6,130,2000,5
131,200,10,1,126.8,131,2000,5
132,200,10,1,127.2,132,2000,5
133,200,10,1,127.2,133,2000,5
134,200,10,1,127.0,134,2000,5
135,200,10,1,127.6,135,2000,5
136,200,10,1,128.2,136,2000,5
137,200,10,1,128.2,137,2000,5
138,200,10,1,128.4,138,2000,5
139,200,10,1,128.6,139,2000,5
140,200,10,1,128.8,140,2000,5
141,200,10,1,128.8,141,2000,5
142,200,10,1,129.4,142,2000,5
143,200,10,1,129.6,143,2000,5
144,200,10,1,129.6,144,2000,5
145,200,10,1,130.6,145,2000,5
146,200,10,1,130.8,146,2000,5
147,200,10,1,131.2,147,2000,5
148,200,10,1,131.4,148,2000,5
149,200,10,1,131.6,149,2000,5
150,200,10,1,132.2,150,2000,5
151,200,10,1,132.6,151,2000,5
152,200,10,1,132.8,152,2000,5
153,200,10,1,133.2,153,2000,5
154,200,10,1,133.2,154,2000,5
155,200,10,1,133.2,155,2000,5
156,200,10,1,133.4,156,2000,5
157,200,10,1,133.6,157,2000,5
158,200,10,1,134.0,158,2000,5
159,200,10,1,134.2,159,2000,5
160,200,10,1,134.8,160,2000,5
161,200,10,1,134.8,161,2000,5
162,200,10,1,135.0,162,2000,5
163,200,10,1,135.0,163,2000,5
164,200,10,1,135.0,164,2000,5
165,200,10,1,135.0,165,2000,5
166,200,10,1,135.0,166,2000,5
167,200,10,1,135.2,167,2000,5
168,200,10,1,135.4,168,2000,5
169,200,10,1,135.4,169,2000,5
170,200,10,1,135.8,170,2000,5
171,200,10,1,135.8,171,2000,5
172,200,10,1,136.2,172,2000,5
173,200,10,1,136.6,173,2000,5
174,200,10,1,136.8,174,2000,5
175,200,10,1,137.0,175,2000,5
176,200,10,1,137.0,176,2000,5
177,200,10,1,137.0,177,2000,5
178,200,10,1,136.6,178,2000,5
179,200,10,1,137.0,179,2000,5
180,200,10,1,137.4,180,2000,5
181,200,10,1,137.6,181,2000,5
182,200,10,1,137.6,182,2000,5
183,200,10,1,137.6,183,2000,5
184,200,10,1,137.8,184,2000,5
185,200,10,1,138.0,185,2000,5
186,200,10,1,138.2,186,2000,5
187,200,10,1,138.4,187,2000,5
188,200,10,1,138.4,188,2000,5
189,200,10,1,138.4,189,2000,5
190,200,10,1,139.0,190,2000,5
191,200,10,1,139.2,191,2000,5
192,200,10,1,139.8,192,2000,5
193,200,10,1,140.0,193,2000,5
194,200,10,1,140.0,194,2000,5
195,200,10,1,140.0,195,2000,5
196,200,10,1,140.4,196,2000,5
197,200,10,1,140.4,197,2000,5
198,200,10,1,140.8,198,2000,5
199,200,10,1,140.8,199,2000,5
200,200,10,1,139.8,200,2000,5
201,200,10,1,139.8,201,2000,5
202,200,10,1,139.8,202,2000,5
203,200,10,1,140.0,203,2000,5
204,200,10,1,140.4,204,2000,5
205,200,10,1,140.6,205,2000,5
206,200,10,1,140.6,206,2000,5
207,200,10,1,141.0,207,2000,5
208,200,10,1,141.4,208,2000,5
209,200,10,1,141.4,209,2000,5
210,200,10,1,141.4,210,2000,5
211,200,10,1,141.0,211,2000,5
212,200,10,1,141.0,212,2000,5
213,200,10,1,141.2,213,2000,5
214,200,10,1,141.6,214,2000,5
215,200,10,1,141.8,215,2000,5
216,200,10,1,142.0,216,2000,5
217,200,10,1,142.0,217,2000,5
218,200,10,1,142.4,218,2000,5
219,200,10,1,142.6,219,2000,5
220,200,10,1,142.8,220,2000,5
221,200,10,1,142.8,221,2000,5
222,200,10,1,143.0,222,2000,5
223,200,10,1,143.0,223,2000,5
224,200,10,1,143.2,224,2000,5
225,200,10,1,143.2,225,2000,5
226,200,10,1,143.2,226,2000,5
227,200,10,1,143.4,227,2000,5
228,200,10,1,143.6,228,2000,5
229,200,10,1,143.6,229,2000,5
230,200,10,1,143.6,230,2000,5
231,200,10,1,143.8,231,2000,5
232,200,10,1,143.8,232,2000,5
233,200,10,1,143.2,233,2000,5
234,200,10,1,143.6,234,2000,5
235,200,10,1,143.8,235,2000,5
236,200,10,1,143.8,236,2000,5
237,200,10,1,144.0,237,2000,5
238,200,10,1,144.2,238,2000,5
239,200,10,1,144.4,239,2000,5
240,200,10,1,144.8,240,2000,5
241,200,10,1,144.8,241,2000,5
242,200,10,1,144.8,242,2000,5
243,200,10,1,144.8,243,2000,5
244,200,10,1,144.2,244,2000,5
245,200,10,1,144.2,245,2000,5
246,200,10,1,144.8,246,2000,5
247,200,10,1,145.0,247,2000,5
248,200,10,1,145.0,248,2000,5
249,200,10,1,145.0,249,2000,5
250,200,10,1,145.0,250,2000,5
251,200,10,1,145.0,251,2000,5
252,200,10,1,145.0,252,2000,5
253,200,10,1,145.0,253,2000,5
254,200,10,1,145.0,254,2000,5
255,200,10,1,144.2,255,2000,5
256,200,10,1,144.8,256,2000,5
257,200,10,1,144.8,257,2000,5
258,200,10,1,145.0,258,2000,5
259,200,10,1,145.0,259,2000,5
260,200,10,1,145.2,260,2000,5
261,200,10,1,145.2,261,2000,5
262,200,10,1,145.2,262,2000,5
263,200,10,1,145.4,263,2000,5
264,200,10,1,145.4,264,2000,5
265,200,10,1,145.4,265,2000,5
266,200,10,1,145.4,266,2000,5
267,200,10,1,145.4,267,2000,5
268,200,10,1,145.8,268,2000,5
269,200,10,1,146.2,269,2000,5
270,200,10,1,146.4,270,2000,5
271,200,10,1,146.4,271,2000,5
272,200,10,1,146.4,272,2000,5
273,200,10,1,146.4,273,2000,5
274,200,10,1,146.6,274,2000,5
275,200,10,1,147.0,275,2000,5
276,200,10,1,147.0,276,2000,5
277,200,10,1,146.2,277,2000,5
278,200,10,1,146.4,278,2000,5
279,200,10,1,146.4,279,2000,5
280,200,10,1,146.4,280,2000,5
281,200,10,1,146.4,281,2000,5
282,200,10,1,146.4,282,2000,5
283,200,10,1,146.4,283,2000,5
284,200,10,1,146.4,284,2000,5
285,200,10,1,146.4,285,2000,5
286,200,10,1,146.6,286,2000,5
287,200,10,1,146.6,287,2000,5
288,200,10,1,146.4,288,2000,5
289,200,10,1,146.4,289,2000,5
290,200,10,1,146.4,290,2000,5
291,200,10,1,146.4,291,2000,5
292,200,10,1,146.4,292,2000,5
293,200,10,1,146.4,293,2000,5
294,200,10,1,146.4,294,2000,5
295,200,10,1,146.4,295,2000,5
296,200,10,1,146.6,296,2000,5
297,200,10,1,147.0,297,2000,5
298,200,10,1,147.0,298,2000,5
299,200,10,1,146.6,299,2000,5
300,200,10,1,146.6,300,2000,5
301,200,10,1,146.6,301,2000,5
302,200,10,1,146.6,302,2000,5
303,200,10,1,146.8,303,2000,5
304,200,10,1,146.8,304,2000,5
305,200,10,1,147.0,305,2000,5
306,200,10,1,147.4,306,2000,5
307,200,10,1,147.6,307,2000,5
