,n,t,r,d,i,id,iter
0,30,180,1,1.3,0,15000,10
1,30,180,1,1.3,1,15000,10
2,30,180,1,1.4,2,15000,10
3,30,180,1,1.6,3,15000,10
4,30,180,1,1.6,4,15000,10
5,30,180,1,2.0,5,15000,10
6,30,180,1,2.0,6,15000,10
7,30,180,1,2.0,7,15000,10
8,30,180,1,2.0,8,15000,10
9,30,180,1,2.2,9,15000,10
10,30,180,1,2.2,10,15000,10
11,30,180,1,2.4,11,15000,10
12,30,180,1,2.4,12,15000,10
13,30,180,1,2.4,13,15000,10
14,30,180,1,2.4,14,15000,10
15,30,180,1,2.4,15,15000,10
16,30,180,1,2.4,16,15000,10
17,30,180,1,2.4,17,15000,10
18,30,180,1,2.5,18,15000,10
19,30,180,1,2.6,19,15000,10
20,30,180,1,2.6,20,15000,10
21,30,180,1,2.6,21,15000,10
22,30,180,1,2.6,22,15000,10
23,30,180,1,2.6,23,15000,10
24,30,180,1,2.6,24,15000,10
25,30,180,1,2.6,25,15000,10
26,30,180,1,2.7,26,15000,10
27,30,180,1,2.7,27,15000,10
28,30,180,1,2.7,28,15000,10
29,30,180,1,2.7,29,15000,10
30,30,180,1,2.7,30,15000,10
31,30,180,1,2.7,31,15000,10
32,30,180,1,2.7,32,15000,10
33,30,180,1,2.7,33,15000,10
34,30,180,1,2.8,34,15000,10
35,30,180,1,2.9,35,15000,10
36,30,180,1,3.0,36,15000,10
37,30,180,1,3.0,37,15000,10
38,30,180,1,3.1,38,15000,10
39,30,180,1,3.1,39,15000,10
40,30,180,1,3.1,40,15000,10
41,30,180,1,3.4,41,15000,10
42,30,180,1,3.6,42,15000,10
43,30,180,1,3.6,43,15000,10
44,30,180,1,3.7,44,15000,10
45,30,180,1,3.8,45,15000,10
46,30,180,1,3.8,46,15000,10
47,30,180,1,3.8,47,15000,10
48,30,180,1,3.8,48,15000,10
49,30,180,1,3.9,49,15000,10
50,30,180,1,3.9,50,15000,10
51,30,180,1,3.9,51,15000,10
52,30,180,1,3.9,52,15000,10
53,30,180,1,3.9,53,15000,10
54,30,180,1,3.9,54,15000,10
55,30,180,1,3.9,55,15000,10
56,30,180,1,3.9,56,15000,10
57,30,180,1,3.9,57,15000,10
58,30,180,1,3.9,58,15000,10
59,30,180,1,4.0,59,15000,10
60,30,180,1,4.2,60,15000,10
61,30,180,1,4.2,61,15000,10
62,30,180,1,4.2,62,15000,10
63,30,180,1,4.2,63,15000,10
64,30,180,1,4.2,64,15000,10
65,30,180,1,4.2,65,15000,10
66,30,180,1,4.2,66,15000,10
67,30,180,1,4.2,67,15000,10
68,30,180,1,4.2,68,15000,10
69,30,180,1,4.2,69,15000,10
70,30,180,1,4.3,70,15000,10
71,30,180,1,4.3,71,15000,10
72,30,180,1,4.9,72,15000,10
73,30,180,1,4.9,73,15000,10
74,30,180,1,4.9,74,15000,10
75,30,180,1,4.9,75,15000,10
76,30,180,1,4.9,76,15000,10
77,30,180,1,5.0,77,15000,10
78,30,180,1,5.4,78,15000,10
79,30,180,1,5.4,79,15000,10
80,30,180,1,5.4,80,15000,10
81,30,180,1,5.4,81,15000,10
82,30,180,1,5.6,82,15000,10
83,30,180,1,5.6,83,15000,10
84,30,180,1,5.7,84,15000,10
85,30,180,1,5.7,85,15000,10
86,30,180,1,5.9,86,15000,10
87,30,180,1,5.9,87,15000,10
88,30,180,1,6.0,88,15000,10
89,30,180,1,6.0,89,15000,10
90,30,180,1,6.0,90,15000,10
91,30,180,1,6.0,91,15000,10
92,30,180,1,6.0,92,15000,10
93,30,180,1,6.0,93,15000,10
94,30,180,1,6.0,94,15000,10
95,30,180,1,6.0,95,15000,10
96,30,180,1,6.0,96,15000,10
97,30,180,1,6.0,97,15000,10
98,30,180,1,6.0,98,15000,10
99,30,180,1,6.0,99,15000,10
100,30,180,1,6.1,100,15000,10
101,30,180,1,6.1,101,15000,10
102,30,180,1,6.3,102,15000,10
103,30,180,1,6.3,103,15000,10
104,30,180,1,6.3,104,15000,10
105,30,180,1,6.3,105,15000,10
106,30,180,1,6.4,106,15000,10
107,30,180,1,6.4,107,15000,10
108,30,180,1,6.4,108,15000,10
109,30,180,1,6.4,109,15000,10
110,30,180,1,6.4,110,15000,10
111,30,180,1,6.4,111,15000,10
112,30,180,1,6.4,112,15000,10
113,30,180,1,6.4,113,15000,10
114,30,180,1,6.6,114,15000,10
115,30,180,1,6.6,115,15000,10
116,30,180,1,6.6,116,15000,10
117,30,180,1,6.6,117,15000,10
118,30,180,1,6.6,118,15000,10
119,30,180,1,6.6,119,15000,10
120,30,180,1,6.6,120,15000,10
121,30,180,1,6.6,121,15000,10
122,30,180,1,6.6,122,15000,10
123,30,180,1,6.6,123,15000,10
124,30,180,1,6.6,124,15000,10
125,30,180,1,6.6,125,15000,10
126,30,180,1,6.6,126,15000,10
127,30,180,1,6.6,127,15000,10
128,30,180,1,6.6,128,15000,10
129,30,180,1,6.8,129,15000,10
130,30,180,1,7.1,130,15000,10
131,30,180,1,7.1,131,15000,10
132,30,180,1,7.3,132,15000,10
133,30,180,1,7.3,133,15000,10
134,30,180,1,7.3,134,15000,10
135,30,180,1,7.3,135,15000,10
136,30,180,1,7.3,136,15000,10
137,30,180,1,7.4,137,15000,10
138,30,180,1,7.4,138,15000,10
139,30,180,1,7.5,139,15000,10
140,30,180,1,7.8,140,15000,10
141,30,180,1,7.8,141,15000,10
142,30,180,1,8.0,142,15000,10
143,30,180,1,8.0,143,15000,10
144,30,180,1,8.8,144,15000,10
145,30,180,1,8.9,145,15000,10
146,30,180,1,8.9,146,15000,10
147,30,180,1,9.0,147,15000,10
148,30,180,1,9.0,148,15000,10
149,30,180,1,9.0,149,15000,10
150,30,180,1,9.0,150,15000,10
151,30,180,1,9.0,151,15000,10
152,30,180,1,9.0,152,15000,10
153,30,180,1,9.0,153,15000,10
154,30,180,1,9.2,154,15000,10
155,30,180,1,9.2,155,15000,10
156,30,180,1,9.2,156,15000,10
157,30,180,1,9.2,157,15000,10
158,30,180,1,9.2,158,15000,10
159,30,180,1,9.2,159,15000,10
160,30,180,1,9.4,160,15000,10
161,30,180,1,9.4,161,15000,10
162,30,180,1,9.4,162,15000,10
163,30,180,1,9.4,163,15000,10
164,30,180,1,9.7,164,15000,10
165,30,180,1,9.7,165,15000,10
166,30,180,1,9.7,166,15000,10
167,30,180,1,10.3,167,15000,10
168,30,180,1,10.3,168,15000,10
169,30,180,1,10.3,169,15000,10
170,30,180,1,10.3,170,15000,10
171,30,180,1,10.3,171,15000,10
172,30,180,1,10.3,172,15000,10
173,30,180,1,10.3,173,15000,10
174,30,180,1,10.3,174,15000,10
175,30,180,1,10.3,175,15000,10
176,30,180,1,10.3,176,15000,10
177,30,180,1,10.4,177,15000,10
178,30,180,1,11.4,178,15000,10
179,30,180,1,11.6,179,15000,10
180,30,180,1,11.6,180,15000,10
181,30,180,1,11.6,181,15000,10
182,30,180,1,11.6,182,15000,10
183,30,180,1,7.7,183,15000,10
184,30,180,1,7.9,184,15000,10
185,30,180,1,7.9,185,15000,10
186,30,180,1,8.0,186,15000,10
187,30,180,1,8.0,187,15000,10
188,30,180,1,8.2,188,15000,10
189,30,180,1,8.2,189,15000,10
190,30,180,1,8.2,190,15000,10
191,30,180,1,8.2,191,15000,10
192,30,180,1,8.7,192,15000,10
193,30,180,1,8.7,193,15000,10
194,30,180,1,8.7,194,15000,10
195,30,180,1,8.7,195,15000,10
196,30,180,1,8.7,196,15000,10
197,30,180,1,8.7,197,15000,10
198,30,180,1,8.7,198,15000,10
199,30,180,1,8.7,199,15000,10
200,30,180,1,8.7,200,15000,10
201,30,180,1,8.7,201,15000,10
202,30,180,1,8.7,202,15000,10
203,30,180,1,8.7,203,15000,10
204,30,180,1,8.7,204,15000,10
205,30,180,1,8.7,205,15000,10
206,30,180,1,8.7,206,15000,10
207,30,180,1,8.7,207,15000,10
208,30,180,1,8.7,208,15000,10
209,30,180,1,8.8,209,15000,10
210,30,180,1,8.8,210,15000,10
211,30,180,1,9.1,211,15000,10
212,30,180,1,9.5,212,15000,10
213,30,180,1,9.6,213,15000,10
214,30,180,1,9.6,214,15000,10
215,30,180,1,9.6,215,15000,10
216,30,180,1,9.8,216,15000,10
217,30,180,1,9.8,217,15000,10
218,30,180,1,9.9,218,15000,10
219,30,180,1,9.9,219,15000,10
220,30,180,1,9.9,220,15000,10
221,30,180,1,9.9,221,15000,10
222,30,180,1,9.9,222,15000,10
223,30,180,1,9.9,223,15000,10
224,30,180,1,9.9,224,15000,10
225,30,180,1,9.9,225,15000,10
226,30,180,1,10.1,226,15000,10
227,30,180,1,10.1,227,15000,10
228,30,180,1,10.5,228,15000,10
229,30,180,1,10.5,229,15000,10
230,30,180,1,10.5,230,15000,10
231,30,180,1,10.5,231,15000,10
232,30,180,1,10.7,232,15000,10
233,30,180,1,10.7,233,15000,10
234,30,180,1,11.8,234,15000,10
235,30,180,1,11.8,235,15000,10
236,30,180,1,12.1,236,15000,10
237,30,180,1,12.1,237,15000,10
238,30,180,1,12.1,238,15000,10
239,30,180,1,12.1,239,15000,10
240,30,180,1,12.1,240,15000,10
241,30,180,1,12.1,241,15000,10
242,30,180,1,12.1,242,15000,10
243,30,180,1,12.2,243,15000,10
244,30,180,1,12.2,244,15000,10
245,30,180,1,12.7,245,15000,10
246,30,180,1,12.7,246,15000,10
247,30,180,1,12.7,247,15000,10
248,30,180,1,12.8,248,15000,10
249,30,180,1,12.8,249,15000,10
250,30,180,1,12.8,250,15000,10
251,30,180,1,12.8,251,15000,10
252,30,180,1,12.8,252,15000,10
253,30,180,1,12.8,253,15000,10
254,30,180,1,12.8,254,15000,10
255,30,180,1,12.8,255,15000,10
256,30,180,1,12.8,256,15000,10
257,30,180,1,12.8,257,15000,10
258,30,180,1,12.8,258,15000,10
259,30,180,1,12.8,259,15000,10
260,30,180,1,12.8,260,15000,10
261,30,180,1,12.8,261,15000,10
262,30,180,1,12.8,262,15000,10
263,30,180,1,12.9,263,15000,10
264,30,180,1,13.0,264,15000,10
265,30,180,1,13.0,265,15000,10
266,30,180,1,13.0,266,15000,10
267,30,180,1,13.0,267,15000,10
268,30,180,1,13.0,268,15000,10
269,30,180,1,13.0,269,15000,10
270,30,180,1,13.0,270,15000,10
271,30,180,1,13.3,271,15000,10
272,30,180,1,13.6,272,15000,10
273,30,180,1,13.6,273,15000,10
274,30,180,1,13.6,274,15000,10
275,30,180,1,13.6,275,15000,10
276,30,180,1,13.7,276,15000,10
277,30,180,1,13.7,277,15000,10
278,30,180,1,13.7,278,15000,10
279,30,180,1,13.7,279,15000,10
280,30,180,1,13.7,280,15000,10
281,30,180,1,13.7,281,15000,10
282,30,180,1,13.7,282,15000,10
283,30,180,1,13.7,283,15000,10
284,30,180,1,13.8,284,15000,10
285,30,180,1,14.2,285,15000,10
286,30,180,1,14.3,286,15000,10
287,30,180,1,14.3,287,15000,10
288,30,180,1,14.4,288,15000,10
289,30,180,1,14.4,289,15000,10
290,30,180,1,14.4,290,15000,10
291,30,180,1,14.4,291,15000,10
292,30,180,1,15.4,292,15000,10
293,30,180,1,15.4,293,15000,10
294,30,180,1,15.4,294,15000,10
295,30,180,1,15.4,295,15000,10
296,30,180,1,15.5,296,15000,10
297,30,180,1,15.5,297,15000,10
298,30,180,1,15.5,298,15000,10
299,30,180,1,15.5,299,15000,10
300,30,180,1,15.5,300,15000,10
301,30,180,1,15.5,301,15000,10
302,30,180,1,15.5,302,15000,10
303,30,180,1,15.7,303,15000,10
304,30,180,1,15.8,304,15000,10
305,30,180,1,15.8,305,15000,10
306,30,180,1,16.1,306,15000,10
307,30,180,1,16.1,307,15000,10
308,30,180,1,16.1,308,15000,10
309,30,180,1,16.1,309,15000,10
310,30,180,1,16.1,310,15000,10
311,30,180,1,16.1,311,15000,10
312,30,180,1,16.1,312,15000,10
313,30,180,1,16.1,313,15000,10
314,30,180,1,16.2,314,15000,10
315,30,180,1,16.3,315,15000,10
316,30,180,1,16.6,316,15000,10
317,30,180,1,16.6,317,15000,10
318,30,180,1,16.6,318,15000,10
319,30,180,1,16.6,319,15000,10
320,30,180,1,16.6,320,15000,10
321,30,180,1,16.6,321,15000,10
322,30,180,1,16.6,322,15000,10
323,30,180,1,16.6,323,15000,10
324,30,180,1,16.6,324,15000,10
325,30,180,1,16.6,325,15000,10
326,30,180,1,16.7,326,15000,10
327,30,180,1,16.8,327,15000,10
328,30,180,1,17.0,328,15000,10
329,30,180,1,17.1,329,15000,10
330,30,180,1,17.1,330,15000,10
331,30,180,1,17.1,331,15000,10
332,30,180,1,17.1,332,15000,10
333,30,180,1,17.1,333,15000,10
334,30,180,1,17.1,334,15000,10
335,30,180,1,17.1,335,15000,10
336,30,180,1,17.1,336,15000,10
337,30,180,1,17.2,337,15000,10
338,30,180,1,17.2,338,15000,10
339,30,180,1,17.3,339,15000,10
340,30,180,1,17.6,340,15000,10
341,30,180,1,17.6,341,15000,10
342,30,180,1,17.6,342,15000,10
343,30,180,1,17.6,343,15000,10
344,30,180,1,17.6,344,15000,10
345,30,180,1,17.6,345,15000,10
346,30,180,1,17.6,346,15000,10
347,30,180,1,17.7,347,15000,10
348,30,180,1,17.7,348,15000,10
349,30,180,1,17.7,349,15000,10
350,30,180,1,17.7,350,15000,10
351,30,180,1,17.7,351,15000,10
352,30,180,1,17.7,352,15000,10
353,30,180,1,17.7,353,15000,10
354,30,180,1,17.7,354,15000,10
355,30,180,1,18.0,355,15000,10
356,30,180,1,18.0,356,15000,10
357,30,180,1,18.1,357,15000,10
358,30,180,1,18.1,358,15000,10
359,30,180,1,18.1,359,15000,10
360,30,180,1,18.1,360,15000,10
361,30,180,1,18.2,361,15000,10
362,30,180,1,18.2,362,15000,10
363,30,180,1,18.2,363,15000,10
364,30,180,1,11.3,364,15000,10
365,30,180,1,11.3,365,15000,10
366,30,180,1,11.3,366,15000,10
367,30,180,1,11.3,367,15000,10
368,30,180,1,12.1,368,15000,10
369,30,180,1,13.1,369,15000,10
370,30,180,1,13.1,370,15000,10
371,30,180,1,13.1,371,15000,10
372,30,180,1,13.1,372,15000,10
373,30,180,1,13.1,373,15000,10
374,30,180,1,13.2,374,15000,10
375,30,180,1,13.2,375,15000,10
376,30,180,1,13.2,376,15000,10
377,30,180,1,13.2,377,15000,10
378,30,180,1,13.2,378,15000,10
379,30,180,1,13.7,379,15000,10
380,30,180,1,13.7,380,15000,10
381,30,180,1,13.7,381,15000,10
382,30,180,1,13.7,382,15000,10
383,30,180,1,13.7,383,15000,10
384,30,180,1,13.7,384,15000,10
385,30,180,1,13.7,385,15000,10
386,30,180,1,14.1,386,15000,10
387,30,180,1,14.1,387,15000,10
388,30,180,1,15.3,388,15000,10
389,30,180,1,15.3,389,15000,10
390,30,180,1,15.3,390,15000,10
391,30,180,1,15.3,391,15000,10
392,30,180,1,15.3,392,15000,10
393,30,180,1,15.4,393,15000,10
394,30,180,1,15.4,394,15000,10
395,30,180,1,15.9,395,15000,10
396,30,180,1,15.9,396,15000,10
397,30,180,1,15.9,397,15000,10
398,30,180,1,15.9,398,15000,10
399,30,180,1,15.9,399,15000,10
400,30,180,1,15.9,400,15000,10
401,30,180,1,15.9,401,15000,10
402,30,180,1,15.9,402,15000,10
403,30,180,1,15.9,403,15000,10
404,30,180,1,15.9,404,15000,10
405,30,180,1,15.9,405,15000,10
406,30,180,1,16.0,406,15000,10
407,30,180,1,16.0,407,15000,10
408,30,180,1,16.0,408,15000,10
409,30,180,1,16.1,409,15000,10
410,30,180,1,16.1,410,15000,10
411,30,180,1,16.1,411,15000,10
412,30,180,1,16.1,412,15000,10
413,30,180,1,16.1,413,15000,10
414,30,180,1,16.3,414,15000,10
415,30,180,1,16.5,415,15000,10
416,30,180,1,16.5,416,15000,10
417,30,180,1,16.5,417,15000,10
418,30,180,1,16.6,418,15000,10
419,30,180,1,16.6,419,15000,10
420,30,180,1,16.6,420,15000,10
421,30,180,1,16.6,421,15000,10
422,30,180,1,16.6,422,15000,10
423,30,180,1,16.7,423,15000,10
424,30,180,1,16.7,424,15000,10
425,30,180,1,16.8,425,15000,10
426,30,180,1,16.8,426,15000,10
427,30,180,1,17.2,427,15000,10
428,30,180,1,17.2,428,15000,10
429,30,180,1,17.2,429,15000,10
430,30,180,1,17.2,430,15000,10
431,30,180,1,17.2,431,15000,10
432,30,180,1,17.2,432,15000,10
433,30,180,1,17.2,433,15000,10
434,30,180,1,17.2,434,15000,10
435,30,180,1,17.2,435,15000,10
436,30,180,1,17.2,436,15000,10
437,30,180,1,17.2,437,15000,10
438,30,180,1,17.2,438,15000,10
439,30,180,1,17.2,439,15000,10
440,30,180,1,17.2,440,15000,10
441,30,180,1,17.2,441,15000,10
442,30,180,1,17.2,442,15000,10
443,30,180,1,17.2,443,15000,10
444,30,180,1,17.2,444,15000,10
